index,name,month,score
0,Moderator,June,6.564199199780418
1,Joe Biden,Sept,6.661817262720703
2,Joe Biden,Oct,7.027273865302767
3,Moderator,Oct,7.209532356119418
4,Joe Biden,June,7.251426432232748
5,Moderator,July,7.279494509133389
6,Moderator,Dec,7.369296487042707
7,Joe Biden,July,7.4725599445038995
8,Kirsten Gillibrand,July,7.611743815449994
9,Moderator,Sept,7.615100248493722
10,Elizabeth Warren,July,7.749335371456848
11,Elizabeth Warren,Sept,7.850614351710341
12,Steve Bullock,July,7.872947976878617
13,Bill de Blasio,July,7.972186694789027
14,Amy Klobuchar,Sept,8.06907720917177
15,Amy Klobuchar,Oct,8.06923569364126
16,Joe Biden,Nov,8.161956912028725
17,Amy Klobuchar,July,8.17283581302696
18,Julián Castro,Sept,8.194199669966999
19,Eric Swalwell,June,8.227595568167445
20,Tim Ryan,July,8.232340592985203
21,Joe Biden,Dec,8.246392966243228
22,Kamala Harris,June,8.340138888888891
23,Amy Klobuchar,Dec,8.34494325944343
24,Andrew Yang,July,8.363096648085136
25,John Hickenlooper,July,8.374153605015675
26,Julián Castro,July,8.401392795883364
27,Kamala Harris,Sept,8.514834728424681
28,Elizabeth Warren,Nov,8.520385222625762
29,Amy Klobuchar,Nov,8.553094635420923
30,John Delaney,July,8.57995654952077
31,Michael Bennett,June,8.61364754098361
32,Jay Inslee,July,8.634754779428786
33,Michael Bennett,July,8.64474547208231
34,Elizabeth Warren,Oct,8.68815766632703
35,Elizabeth Warren,Dec,8.812175967596762
36,Andrew Yang,Sept,8.899459758345284
37,Bernie Sanders,June,9.020144040020703
38,Cory Booker,July,9.029443144550356
39,Bernie Sanders,July,9.10194642800969
40,Andrew Yang,Oct,9.121119377378506
41,Andrew Yang,Nov,9.164741184791026
42,Kamala Harris,Oct,9.248008921300606
43,Kirsten Gillibrand,June,9.266792678074015
44,Cory Booker,Nov,9.366519776555482
45,Tim Ryan,June,9.440374802668433
46,Tom Steyer,Dec,9.524481175390267
47,Amy Klobuchar,June,9.60427803558909
48,Bernie Sanders,Dec,9.618460972017676
49,Bernie Sanders,Oct,9.619661518425286
50,Andrew Yang,Dec,9.625158289007853
51,Elizabeth Warren,June,9.700129032258069
52,Marianne Williamson,June,9.83623824451411
53,Pete Buttigieg,June,9.962292682926833
54,Beto O’Rourke,Sept,10.03731993872493
55,Pete Buttigieg,July,10.040542464408446
56,Marianne Williamson,July,10.040934190966265
57,John Delaney,June,10.195994844688073
58,Jay Inslee,June,10.197188940092165
59,Pete Buttigieg,Dec,10.263378587581773
60,Beto O’Rourke,Oct,10.263600030463554
61,Julián Castro,Oct,10.320605098057808
62,Cory Booker,Sept,10.344691348086567
63,Bernie Sanders,Nov,10.44619541009006
64,Tom Steyer,Nov,10.46813075581343
65,Bernie Sanders,Sept,10.52272123271366
66,Tom Steyer,Oct,10.540300751879702
67,Cory Booker,Oct,10.65701247925444
68,Tulsi Gabbard,July,10.657312182659034
69,Pete Buttigieg,Sept,10.740200194363464
70,Andrew Yang,June,10.80336048578199
71,Pete Buttigieg,Oct,10.910730456314116
72,Beto O’Rourke,July,10.93503319713994
73,Kamala Harris,July,10.990973635212956
74,Tulsi Gabbard,Oct,11.134413924794359
75,Tulsi Gabbard,June,11.203185533878305
76,Kamala Harris,Nov,11.383948720742318
77,John Hickenlooper,June,11.393304284221529
78,Cory Booker,June,11.873657548125632
79,Bill de Blasio,June,11.94518588830881
80,Beto O’Rourke,June,12.26027392148082
81,Julián Castro,June,12.888977115117893
82,Pete Buttigieg,Nov,13.322673531655226
83,Tulsi Gabbard,Nov,13.436254442075338
